 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,B_t5_1.tif,0.781,255,255,255,16.927,0.337,363,0
2,B_t5_1.tif,0.587,255,255,255,21.780,0.295,473,0
3,B_t5_1.tif,0.343,255,255,255,75.384,0.227,1669,0
4,B_t5_1.tif,1.068,255,255,255,82.510,0.624,1832,0
5,B_t5_1.tif,0.438,255,255,255,21.191,0.842,470,10
6,B_t5_1.tif,1.421,255,255,255,22.381,1.234,495,13
7,B_t5_1.tif,0.563,255,255,255,17.506,1.110,389,15
8,B_t5_1.tif,0.182,255,255,255,16.483,1.439,367,25
9,B_t5_1.tif,0.846,255,255,255,89.592,2.273,1988,40
10,B_t5_1.tif,0.458,255,255,255,85.252,3.032,1896,59
11,B_t5_1.tif,0.539,255,255,255,92.766,3.409,2067,69
12,B_t5_1.tif,0.065,255,255,255,27.830,3.646,618,78
13,B_t5_1.tif,0.886,255,255,255,99.518,5.511,2211,110
14,B_t5_1.tif,0.587,255,255,255,95.510,5.461,2124,112
15,B_t5_1.tif,0.842,255,255,255,100.468,5.689,2226,116
16,B_t5_1.tif,0.061,255,255,255,20.210,5.475,448,119
17,B_t5_1.tif,0.720,255,255,255,107.371,6.684,2388,139
18,B_t5_1.tif,0.521,255,255,255,107.984,7.265,2403,151
19,B_t5_1.tif,0.174,255,255,255,116.466,7.102,2590,153
20,B_t5_1.tif,0.739,255,255,255,54.500,8.411,1205,177
21,B_t5_1.tif,0.926,255,255,255,58.049,9.018,1294,185
22,B_t5_1.tif,1.009,255,255,255,56.934,8.940,1266,189
23,B_t5_1.tif,0.329,255,255,255,11.342,8.977,248,193
24,B_t5_1.tif,0.716,255,255,255,32.547,9.306,729,197
25,B_t5_1.tif,0.616,255,255,255,12.524,9.774,270,208
26,B_t5_1.tif,0.593,255,255,255,96.334,9.805,2143,208
27,B_t5_1.tif,0.904,255,255,255,13.657,10.393,309,221
28,B_t5_1.tif,1.025,255,255,255,71.666,10.793,1591,224
29,B_t5_1.tif,0.256,255,255,255,82.681,10.385,1838,225
30,B_t5_1.tif,0.620,255,255,255,64.805,10.602,1438,226
31,B_t5_1.tif,0.533,255,255,255,5.487,11.183,119,240
32,B_t5_1.tif,1.175,255,255,255,79.829,11.819,1773,249
33,B_t5_1.tif,0.999,255,255,255,112.303,12.153,2493,255
34,B_t5_1.tif,0.311,255,255,255,55.773,11.930,1240,259
35,B_t5_1.tif,0.884,255,255,255,37.907,12.856,851,271
36,B_t5_1.tif,1.615,255,255,255,79.540,13.226,1764,273
37,B_t5_1.tif,0.902,255,255,255,93.692,12.905,2080,275
38,B_t5_1.tif,1.772,255,255,255,78.466,13.440,1745,280
39,B_t5_1.tif,0.836,255,255,255,56.011,13.171,1238,282
40,B_t5_1.tif,0.589,255,255,255,28.795,13.528,641,291
41,B_t5_1.tif,0.654,255,255,255,16.115,13.699,353,294
42,B_t5_1.tif,1.324,255,255,255,62.704,14.215,1398,294
43,B_t5_1.tif,2.285,255,255,255,63.762,14.316,1421,294
44,B_t5_1.tif,0.392,255,255,255,85.694,14.283,1903,311
45,B_t5_1.tif,0.046,255,255,255,97.751,14.484,2175,319
46,B_t5_1.tif,0.757,255,255,255,13.417,15.019,303,320
47,B_t5_1.tif,3.764,255,255,255,63.237,16.199,1392,337
48,B_t5_1.tif,0.246,255,255,255,97.512,15.674,2170,339
49,B_t5_1.tif,0.767,255,255,255,34.257,16.406,748,353
50,B_t5_1.tif,0.961,255,255,255,58.521,17.257,1299,367
51,B_t5_1.tif,0.492,255,255,255,90.722,17.040,2015,371
52,B_t5_1.tif,0.856,255,255,255,19.085,19.344,424,419
53,B_t5_1.tif,2.492,255,255,255,67.424,20.061,1491,427
54,B_t5_1.tif,0.630,255,255,255,30.514,19.856,672,429
