 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,A_t5_4.tif,1.132,255,255,255,21.491,0.477,465,0
2,A_t5_4.tif,0.396,255,255,255,37.843,0.212,831,0
3,A_t5_4.tif,0.878,255,255,255,76.974,0.476,1702,0
4,A_t5_4.tif,1.633,255,255,255,87.628,0.615,1930,0
5,A_t5_4.tif,0.969,255,255,255,0.490,0.873,8,5
6,A_t5_4.tif,0.545,255,255,255,3.436,1.528,77,23
7,A_t5_4.tif,1.364,255,255,255,0.420,2.955,10,43
8,A_t5_4.tif,0.496,255,255,255,93.465,2.702,2077,51
9,A_t5_4.tif,0.731,255,255,255,57.153,2.911,1272,57
10,A_t5_4.tif,1.508,255,255,255,3.001,3.404,75,61
11,A_t5_4.tif,2.299,255,255,255,1.007,4.276,22,63
12,A_t5_4.tif,0.515,255,255,255,56.135,3.212,1248,63
13,A_t5_4.tif,1.512,255,255,255,45.427,3.736,998,70
14,A_t5_4.tif,0.373,255,255,255,23.722,3.535,525,71
15,A_t5_4.tif,1.235,255,255,255,115.774,3.868,2581,72
16,A_t5_4.tif,0.817,255,255,255,75.914,3.754,1682,75
17,A_t5_4.tif,0.997,255,255,255,109.197,4.267,2428,82
18,A_t5_4.tif,0.777,255,255,255,114.470,4.232,2545,84
19,A_t5_4.tif,0.418,255,255,255,14.725,4.289,325,88
20,A_t5_4.tif,0.367,255,255,255,114.023,5.062,2536,104
21,A_t5_4.tif,1.207,255,255,255,54.357,5.389,1209,107
22,A_t5_4.tif,0.587,255,255,255,112.335,5.230,2496,108
23,A_t5_4.tif,0.301,255,255,255,48.892,5.284,1084,110
24,A_t5_4.tif,0.745,255,255,255,55.288,6.035,1225,123
25,A_t5_4.tif,1.001,255,255,255,52.991,6.411,1192,130
26,A_t5_4.tif,0.398,255,255,255,54.448,6.367,1206,134
27,A_t5_4.tif,0.210,255,255,255,49.516,6.520,1099,137
28,A_t5_4.tif,0.664,255,255,255,47.095,6.512,1046,138
29,A_t5_4.tif,0.955,255,255,255,96.830,6.785,2143,139
30,A_t5_4.tif,0.848,255,255,255,58.965,6.802,1305,141
31,A_t5_4.tif,0.511,255,255,255,9.480,6.793,206,142
32,A_t5_4.tif,0.601,255,255,255,23.580,6.859,518,142
33,A_t5_4.tif,0.765,255,255,255,55.865,6.924,1244,142
34,A_t5_4.tif,0.468,255,255,255,73.477,6.899,1636,142
35,A_t5_4.tif,0.611,255,255,255,16.508,7.318,364,149
36,A_t5_4.tif,0.452,255,255,255,51.652,7.143,1158,150
37,A_t5_4.tif,1.124,255,255,255,22.946,7.503,514,154
38,A_t5_4.tif,0.587,255,255,255,49.213,7.701,1096,155
39,A_t5_4.tif,0.618,255,255,255,54.246,7.474,1205,156
40,A_t5_4.tif,0.660,255,255,255,55.271,7.751,1225,159
41,A_t5_4.tif,0.547,255,255,255,50.573,7.536,1135,160
42,A_t5_4.tif,0.678,255,255,255,58.452,7.656,1297,160
43,A_t5_4.tif,0.202,255,255,255,109.160,7.380,2424,160
44,A_t5_4.tif,0.977,255,255,255,59.679,7.923,1323,163
45,A_t5_4.tif,0.599,255,255,255,56.416,7.983,1248,168
46,A_t5_4.tif,0.567,255,255,255,54.688,8.396,1210,177
47,A_t5_4.tif,0.547,255,255,255,48.779,8.661,1088,183
48,A_t5_4.tif,0.071,255,255,255,109.436,8.472,2435,185
49,A_t5_4.tif,0.585,255,255,255,69.471,8.954,1545,187
50,A_t5_4.tif,0.864,255,255,255,76.752,8.884,1707,187
51,A_t5_4.tif,0.325,255,255,255,55.789,8.977,1241,190
52,A_t5_4.tif,0.827,255,255,255,75.538,9.034,1682,190
53,A_t5_4.tif,0.553,255,255,255,77.559,9.418,1728,196
54,A_t5_4.tif,0.545,255,255,255,54.597,9.587,1211,203
55,A_t5_4.tif,0.480,255,255,255,109.749,9.493,2439,203
56,A_t5_4.tif,0.587,255,255,255,56.145,9.940,1257,205
57,A_t5_4.tif,1.554,255,255,255,29.790,10.469,662,210
58,A_t5_4.tif,0.531,255,255,255,109.173,10.087,2431,213
59,A_t5_4.tif,1.756,255,255,255,78.598,10.548,1741,219
60,A_t5_4.tif,1.336,255,255,255,8.123,10.446,176,220
61,A_t5_4.tif,0.614,255,255,255,11.555,10.351,254,221
62,A_t5_4.tif,0.476,255,255,255,61.900,10.292,1374,221
63,A_t5_4.tif,0.494,255,255,255,58.208,10.486,1299,224
64,A_t5_4.tif,0.997,255,255,255,46.491,10.984,1039,227
65,A_t5_4.tif,0.567,255,255,255,1.702,10.965,37,234
66,A_t5_4.tif,0.823,255,255,255,8.668,11.429,194,243
67,A_t5_4.tif,1.060,255,255,255,91.240,11.877,2030,243
68,A_t5_4.tif,0.979,255,255,255,14.236,11.680,304,250
69,A_t5_4.tif,0.500,255,255,255,119.341,11.851,2660,252
70,A_t5_4.tif,0.652,255,255,255,89.089,11.819,1978,254
71,A_t5_4.tif,0.949,255,255,255,15.351,12.305,333,258
72,A_t5_4.tif,0.587,255,255,255,54.004,12.042,1200,260
73,A_t5_4.tif,0.448,255,255,255,62.848,12.114,1392,261
74,A_t5_4.tif,0.611,255,255,255,100.648,12.615,2237,268
75,A_t5_4.tif,0.442,255,255,255,46.069,12.441,1022,270
