 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,A_t5_2.tif,0.178,255,255,255,3.765,0.076,71,0
2,A_t5_2.tif,0.210,255,255,255,70.705,0.113,1563,0
3,A_t5_2.tif,0.965,255,255,255,76.736,0.693,1697,0
4,A_t5_2.tif,0.460,255,255,255,78.807,0.125,1732,0
5,A_t5_2.tif,0.287,255,255,255,87.852,0.202,1945,0
6,A_t5_2.tif,0.252,255,255,255,100.637,0.112,2227,0
7,A_t5_2.tif,0.262,255,255,255,18.357,0.686,405,8
8,A_t5_2.tif,0.533,255,255,255,67.187,1.458,1488,21
9,A_t5_2.tif,0.965,255,255,255,70.807,2.958,1570,43
10,A_t5_2.tif,0.880,255,255,255,46.014,2.709,1011,46
11,A_t5_2.tif,0.054,255,255,255,119.588,2.227,2658,47
12,A_t5_2.tif,0.442,255,255,255,105.920,2.537,2352,48
13,A_t5_2.tif,0.470,255,255,255,19.830,2.884,445,54
14,A_t5_2.tif,0.281,255,255,255,107.067,2.792,2388,55
15,A_t5_2.tif,1.639,255,255,255,41.204,4.519,907,58
16,A_t5_2.tif,1.510,255,255,255,68.865,4.094,1510,63
17,A_t5_2.tif,0.755,255,255,255,115.049,3.619,2566,64
18,A_t5_2.tif,0.823,255,255,255,15.878,3.788,357,65
19,A_t5_2.tif,0.815,255,255,255,60.227,3.626,1326,66
20,A_t5_2.tif,0.474,255,255,255,113.834,3.521,2541,66
21,A_t5_2.tif,0.111,255,255,255,11.727,3.198,257,67
22,A_t5_2.tif,0.113,255,255,255,18.554,3.531,414,73
23,A_t5_2.tif,0.085,255,255,255,110.538,3.962,2458,85
24,A_t5_2.tif,1.253,255,255,255,99.273,5.335,2193,89
25,A_t5_2.tif,1.029,255,255,255,96.256,4.843,2160,91
26,A_t5_2.tif,0.113,255,255,255,120.657,4.407,2686,91
27,A_t5_2.tif,0.450,255,255,255,20.850,4.582,455,93
28,A_t5_2.tif,0.436,255,255,255,63.067,4.662,1392,94
29,A_t5_2.tif,0.139,255,255,255,91.761,4.608,2041,98
30,A_t5_2.tif,0.115,255,255,255,88.506,4.629,1968,99
31,A_t5_2.tif,0.063,255,255,255,116.073,4.708,2581,102
32,A_t5_2.tif,0.389,255,255,255,61.679,5.140,1363,107
33,A_t5_2.tif,1.106,255,255,255,120.152,5.999,2681,111
34,A_t5_2.tif,0.087,255,255,255,84.688,5.343,1883,115
35,A_t5_2.tif,0.172,255,255,255,98.202,5.543,2188,118
36,A_t5_2.tif,0.674,255,255,255,97.314,6.046,2153,120
37,A_t5_2.tif,0.050,255,255,255,62.581,5.683,1392,123
38,A_t5_2.tif,0.444,255,255,255,62.952,6.170,1409,127
39,A_t5_2.tif,1.053,255,255,255,58.576,6.342,1318,131
40,A_t5_2.tif,0.678,255,255,255,91.078,6.505,2018,134
41,A_t5_2.tif,0.813,255,255,255,42.972,6.556,973,135
42,A_t5_2.tif,0.496,255,255,255,111.341,6.970,2474,146
43,A_t5_2.tif,0.309,255,255,255,73.649,7.031,1641,149
44,A_t5_2.tif,0.458,255,255,255,98.628,7.844,2186,155
45,A_t5_2.tif,1.247,255,255,255,42.481,8.338,966,157
46,A_t5_2.tif,1.031,255,255,255,4.469,7.835,116,159
47,A_t5_2.tif,1.045,255,255,255,71.782,8.231,1581,164
48,A_t5_2.tif,0.218,255,255,255,74.055,7.796,1645,168
49,A_t5_2.tif,0.149,255,255,255,72.802,7.823,1620,169
50,A_t5_2.tif,0.212,255,255,255,93.099,8.235,2073,177
51,A_t5_2.tif,0.287,255,255,255,69.161,8.426,1535,180
52,A_t5_2.tif,0.131,255,255,255,14.937,8.333,329,181
53,A_t5_2.tif,0.460,255,255,255,52.490,8.671,1172,181
54,A_t5_2.tif,0.309,255,255,255,74.755,8.513,1666,181
55,A_t5_2.tif,0.305,255,255,255,69.965,8.752,1554,186
56,A_t5_2.tif,0.050,255,255,255,26.084,8.696,580,190
57,A_t5_2.tif,0.779,255,255,255,106.234,9.325,2366,191
58,A_t5_2.tif,0.224,255,255,255,73.329,9.003,1635,193
59,A_t5_2.tif,0.069,255,255,255,70.485,8.958,1567,195
60,A_t5_2.tif,0.476,255,255,255,15.596,9.190,352,197
61,A_t5_2.tif,0.101,255,255,255,20.041,9.003,443,197
62,A_t5_2.tif,0.700,255,255,255,63.326,9.355,1419,198
63,A_t5_2.tif,1.223,255,255,255,50.476,9.252,1111,199
64,A_t5_2.tif,0.121,255,255,255,66.552,9.226,1479,200
65,A_t5_2.tif,0.226,255,255,255,114.554,9.369,2546,201
66,A_t5_2.tif,0.065,255,255,255,65.701,9.338,1458,205
67,A_t5_2.tif,0.886,255,255,255,73.722,9.882,1647,205
68,A_t5_2.tif,0.093,255,255,255,1.852,9.501,35,208
69,A_t5_2.tif,0.075,255,255,255,26.010,9.663,576,210
70,A_t5_2.tif,0.067,255,255,255,72.439,9.546,1612,210
71,A_t5_2.tif,0.145,255,255,255,113.612,9.704,2527,211
72,A_t5_2.tif,0.684,255,255,255,46.229,10.081,1036,216
73,A_t5_2.tif,0.099,255,255,255,2.720,10.084,60,220
74,A_t5_2.tif,0.389,255,255,255,40.853,10.377,910,223
