 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,C_t5_2.tif,0.416,255,255,255,37.476,0.391,834,0
2,C_t5_2.tif,0.184,255,255,255,93.611,0.149,2073,0
3,C_t5_2.tif,0.293,255,255,255,30.742,0.662,681,7
4,C_t5_2.tif,0.099,255,255,255,34.740,1.075,773,19
5,C_t5_2.tif,0.079,255,255,255,30.948,1.133,691,22
6,C_t5_2.tif,0.093,255,255,255,18.060,1.346,399,26
7,C_t5_2.tif,0.264,255,255,255,31.160,1.559,694,26
8,C_t5_2.tif,0.240,255,255,255,79.245,1.597,1761,29
9,C_t5_2.tif,0.309,255,255,255,79.287,2.238,1760,42
10,C_t5_2.tif,0.063,255,255,255,3.476,2.174,76,45
11,C_t5_2.tif,0.204,255,255,255,17.460,2.227,389,45
12,C_t5_2.tif,0.410,255,255,255,18.965,2.429,424,47
13,C_t5_2.tif,0.256,255,255,255,66.940,2.660,1486,52
14,C_t5_2.tif,0.061,255,255,255,12.609,2.670,279,56
15,C_t5_2.tif,0.325,255,255,255,16.395,2.879,366,56
16,C_t5_2.tif,0.161,255,255,255,6.161,2.788,135,57
17,C_t5_2.tif,0.157,255,255,255,7.321,2.782,162,57
18,C_t5_2.tif,0.432,255,255,255,18.021,2.924,406,57
19,C_t5_2.tif,0.061,255,255,255,3.732,2.748,83,58
20,C_t5_2.tif,0.527,255,255,255,113.453,2.929,2523,59
21,C_t5_2.tif,0.123,255,255,255,13.086,3.093,287,64
22,C_t5_2.tif,0.252,255,255,255,114.710,3.433,2549,70
23,C_t5_2.tif,0.232,255,255,255,79.288,3.657,1761,75
24,C_t5_2.tif,0.165,255,255,255,39.244,3.591,870,76
25,C_t5_2.tif,0.343,255,255,255,94.267,3.725,2099,77
26,C_t5_2.tif,0.204,255,255,255,17.539,3.755,388,78
27,C_t5_2.tif,0.212,255,255,255,28.957,3.919,642,82
28,C_t5_2.tif,0.133,255,255,255,40.335,4.024,894,85
29,C_t5_2.tif,0.075,255,255,255,93.730,4.038,2086,86
30,C_t5_2.tif,0.375,255,255,255,79.279,4.362,1760,88
31,C_t5_2.tif,0.283,255,255,255,38.995,4.444,864,93
32,C_t5_2.tif,0.678,255,255,255,36.888,4.549,821,95
33,C_t5_2.tif,0.079,255,255,255,8.301,4.637,183,99
34,C_t5_2.tif,0.620,255,255,255,39.571,5.293,888,104
35,C_t5_2.tif,0.311,255,255,255,79.942,5.215,1782,109
36,C_t5_2.tif,0.184,255,255,255,6.220,5.817,135,122
37,C_t5_2.tif,0.303,255,255,255,7.113,6.203,155,128
38,C_t5_2.tif,0.436,255,255,255,82.531,6.216,1827,130
39,C_t5_2.tif,0.198,255,255,255,5.706,6.262,124,134
40,C_t5_2.tif,0.327,255,255,255,20.618,6.551,460,136
41,C_t5_2.tif,0.896,255,255,255,23.293,6.911,504,136
42,C_t5_2.tif,0.466,255,255,255,75.502,6.576,1678,140
43,C_t5_2.tif,0.494,255,255,255,21.735,6.767,472,142
44,C_t5_2.tif,0.476,255,255,255,83.366,6.935,1849,142
45,C_t5_2.tif,0.367,255,255,255,6.030,7.187,134,148
46,C_t5_2.tif,0.333,255,255,255,53.644,7.273,1196,153
47,C_t5_2.tif,0.323,255,255,255,22.679,7.373,498,155
48,C_t5_2.tif,0.527,255,255,255,60.699,7.954,1339,170
49,C_t5_2.tif,0.180,255,255,255,83.183,7.881,1848,170
50,C_t5_2.tif,0.476,255,255,255,90.443,8.356,2015,173
51,C_t5_2.tif,0.436,255,255,255,52.686,8.369,1176,176
52,C_t5_2.tif,0.315,255,255,255,24.304,8.472,539,179
53,C_t5_2.tif,0.274,255,255,255,23.438,8.689,517,183
54,C_t5_2.tif,0.408,255,255,255,80.396,9.098,1793,192
55,C_t5_2.tif,0.224,255,255,255,83.858,8.969,1862,193
56,C_t5_2.tif,0.117,255,255,255,22.951,8.991,508,196
57,C_t5_2.tif,0.466,255,255,255,24.342,9.472,537,198
58,C_t5_2.tif,0.178,255,255,255,22.783,9.407,506,204
59,C_t5_2.tif,0.878,255,255,255,21.566,10.427,473,210
60,C_t5_2.tif,0.654,255,255,255,58.682,10.151,1313,211
61,C_t5_2.tif,0.733,255,255,255,70.937,10.190,1575,220
