 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,C_t5_3.tif,0.097,255,255,255,101.687,0.101,2258,0
2,C_t5_3.tif,0.087,255,255,255,111.792,1.516,2487,30
3,C_t5_3.tif,0.256,255,255,255,1.693,1.684,37,31
4,C_t5_3.tif,0.283,255,255,255,111.815,2.103,2485,38
5,C_t5_3.tif,0.303,255,255,255,39.096,2.223,866,40
6,C_t5_3.tif,0.192,255,255,255,111.847,3.436,2487,71
7,C_t5_3.tif,0.228,255,255,255,78.176,4.022,1739,83
8,C_t5_3.tif,0.361,255,255,255,5.796,4.239,134,88
9,C_t5_3.tif,0.266,255,255,255,59.771,4.451,1328,93
10,C_t5_3.tif,0.305,255,255,255,88.362,4.677,1960,100
11,C_t5_3.tif,0.119,255,255,255,58.349,5.052,1297,108
12,C_t5_3.tif,0.121,255,255,255,75.061,6.453,1670,139
13,C_t5_3.tif,0.285,255,255,255,105.390,6.651,2347,142
14,C_t5_3.tif,0.111,255,255,255,48.334,7.414,1071,162
15,C_t5_3.tif,0.212,255,255,255,104.619,9.482,2327,206
16,C_t5_3.tif,0.125,255,255,255,86.616,9.681,1927,211
17,C_t5_3.tif,0.129,255,255,255,103.352,10.139,2300,222
18,C_t5_3.tif,0.093,255,255,255,120.672,11.164,2686,242
19,C_t5_3.tif,0.153,255,255,255,68.135,11.187,1515,244
20,C_t5_3.tif,0.262,255,255,255,51.870,11.306,1156,245
21,C_t5_3.tif,0.323,255,255,255,118.282,11.519,2631,251
22,C_t5_3.tif,0.406,255,255,255,51.037,12.016,1143,256
23,C_t5_3.tif,0.178,255,255,255,79.759,11.928,1771,261
24,C_t5_3.tif,0.214,255,255,255,12.560,13.071,276,284
25,C_t5_3.tif,0.515,255,255,255,50.285,13.392,1115,284
26,C_t5_3.tif,0.450,255,255,255,12.512,14.140,268,304
27,C_t5_3.tif,0.371,255,255,255,91.204,14.048,2032,306
28,C_t5_3.tif,0.317,255,255,255,94.902,14.124,2105,308
29,C_t5_3.tif,0.238,255,255,255,96.212,15.149,2136,332
30,C_t5_3.tif,0.317,255,255,255,18.737,15.371,422,335
31,C_t5_3.tif,0.212,255,255,255,99.725,15.331,2214,335
32,C_t5_3.tif,0.283,255,255,255,61.235,15.979,1361,348
33,C_t5_3.tif,0.258,255,255,255,100.385,15.985,2230,349
34,C_t5_3.tif,0.178,255,255,255,7.882,16.691,173,366
35,C_t5_3.tif,0.264,255,255,255,103.210,16.887,2294,370
36,C_t5_3.tif,0.208,255,255,255,95.114,17.090,2114,375
37,C_t5_3.tif,0.347,255,255,255,115.414,17.710,2562,386
38,C_t5_3.tif,0.111,255,255,255,8.583,17.962,188,396
39,C_t5_3.tif,0.285,255,255,255,109.369,18.218,2427,400
40,C_t5_3.tif,0.347,255,255,255,54.915,18.364,1216,401
41,C_t5_3.tif,0.236,255,255,255,115.985,18.369,2578,403
42,C_t5_3.tif,0.335,255,255,255,116.396,18.963,2589,414
43,C_t5_3.tif,0.168,255,255,255,52.747,19.562,1170,431
44,C_t5_3.tif,0.200,255,255,255,51.769,19.929,1151,438
45,C_t5_3.tif,0.196,255,255,255,57.844,20.617,1284,452
46,C_t5_3.tif,0.466,255,255,255,102.850,21.505,2283,465
47,C_t5_3.tif,0.264,255,255,255,41.695,22.445,927,494
48,C_t5_3.tif,0.232,255,255,255,108.694,23.223,2417,511
49,C_t5_3.tif,0.117,255,255,255,33.700,23.961,748,528
50,C_t5_3.tif,0.188,255,255,255,45.403,24.262,1009,534
51,C_t5_3.tif,0.307,255,255,255,64.875,24.913,1440,546
52,C_t5_3.tif,0.196,255,255,255,102.173,25.646,2271,566
53,C_t5_3.tif,0.109,255,255,255,5.052,29.586,111,654
54,C_t5_3.tif,0.212,255,255,255,3.340,30.127,71,665
55,C_t5_3.tif,0.129,255,255,255,17.532,31.046,387,687
