 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,C_t5_2.tif,0.733,255,255,255,37.478,0.414,830,0
2,C_t5_2.tif,0.341,255,255,255,93.597,0.184,2071,0
3,C_t5_2.tif,0.440,255,255,255,30.754,0.678,681,5
4,C_t5_2.tif,0.944,255,255,255,34.566,1.397,770,17
5,C_t5_2.tif,0.957,255,255,255,16.675,1.400,371,20
6,C_t5_2.tif,0.739,255,255,255,18.097,1.489,396,22
7,C_t5_2.tif,0.424,255,255,255,31.133,1.512,693,24
8,C_t5_2.tif,0.896,255,255,255,79.271,2.011,1761,28
9,C_t5_2.tif,0.666,255,255,255,3.561,2.272,76,39
10,C_t5_2.tif,1.033,255,255,255,0.516,2.538,5,42
11,C_t5_2.tif,1.376,255,255,255,16.866,2.556,383,43
12,C_t5_2.tif,0.535,255,255,255,18.977,2.431,427,45
13,C_t5_2.tif,0.492,255,255,255,66.952,2.669,1487,50
14,C_t5_2.tif,0.825,255,255,255,12.998,2.871,278,52
15,C_t5_2.tif,0.587,255,255,255,7.195,2.885,163,54
16,C_t5_2.tif,0.852,255,255,255,5.996,3.229,136,55
17,C_t5_2.tif,0.470,255,255,255,17.943,2.968,408,57
18,C_t5_2.tif,0.793,255,255,255,113.437,2.929,2522,57
19,C_t5_2.tif,0.708,255,255,255,3.916,3.217,89,60
20,C_t5_2.tif,1.116,255,255,255,4.988,3.805,113,67
21,C_t5_2.tif,0.438,255,255,255,114.707,3.432,2548,68
22,C_t5_2.tif,0.529,255,255,255,6.669,3.609,147,69
23,C_t5_2.tif,0.936,255,255,255,79.295,4.036,1762,72
24,C_t5_2.tif,1.310,255,255,255,39.817,3.830,874,73
25,C_t5_2.tif,0.565,255,255,255,94.181,3.778,2103,75
26,C_t5_2.tif,1.100,255,255,255,7.470,4.309,168,76
27,C_t5_2.tif,0.301,255,255,255,17.537,3.741,389,76
28,C_t5_2.tif,0.573,255,255,255,28.959,3.916,642,78
29,C_t5_2.tif,1.154,255,255,255,5.703,4.671,130,90
30,C_t5_2.tif,0.511,255,255,255,39.003,4.444,863,91
31,C_t5_2.tif,0.856,255,255,255,8.160,4.879,184,94
