 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,A_t5_3.tif,0.107,255,255,255,14.207,0.094,309,0
2,A_t5_3.tif,2.920,255,255,255,30.514,1.106,661,0
3,A_t5_3.tif,1.189,255,255,255,46.841,0.661,1041,0
4,A_t5_3.tif,0.430,255,255,255,115.782,0.279,2567,0
5,A_t5_3.tif,0.406,255,255,255,119.933,0.253,2662,0
6,A_t5_3.tif,1.479,255,255,255,47.670,1.220,1057,6
7,A_t5_3.tif,0.381,255,255,255,39.584,0.673,878,7
8,A_t5_3.tif,1.219,255,255,255,55.365,0.887,1228,9
9,A_t5_3.tif,1.140,255,255,255,56.649,1.176,1259,11
10,A_t5_3.tif,1.937,255,255,255,3.581,1.641,78,15
11,A_t5_3.tif,1.956,255,255,255,107.331,1.720,2381,20
12,A_t5_3.tif,1.344,255,255,255,49.117,2.541,1101,39
13,A_t5_3.tif,2.230,255,255,255,113.109,2.710,2514,40
14,A_t5_3.tif,0.710,255,255,255,0.358,2.388,8,41
15,A_t5_3.tif,0.995,255,255,255,120.106,2.640,2671,42
16,A_t5_3.tif,0.884,255,255,255,72.992,2.577,1620,46
17,A_t5_3.tif,0.886,255,255,255,18.866,2.784,418,48
18,A_t5_3.tif,1.334,255,255,255,94.635,2.976,2113,49
19,A_t5_3.tif,1.544,255,255,255,119.919,4.101,2661,71
20,A_t5_3.tif,0.973,255,255,255,27.562,3.876,614,72
21,A_t5_3.tif,0.111,255,255,255,70.024,3.803,1557,80
22,A_t5_3.tif,0.795,255,255,255,97.742,4.240,2174,82
23,A_t5_3.tif,1.744,255,255,255,60.627,4.624,1342,87
24,A_t5_3.tif,1.235,255,255,255,98.575,4.691,2197,89
25,A_t5_3.tif,1.586,255,255,255,50.069,5.088,1104,98
26,A_t5_3.tif,0.989,255,255,255,79.501,5.140,1770,98
27,A_t5_3.tif,1.304,255,255,255,116.024,5.178,2588,102
28,A_t5_3.tif,0.262,255,255,255,13.614,5.620,302,118
29,A_t5_3.tif,0.109,255,255,255,55.151,5.637,1229,121
30,A_t5_3.tif,1.100,255,255,255,115.904,6.246,2586,127
31,A_t5_3.tif,0.315,255,255,255,69.883,6.171,1555,130
32,A_t5_3.tif,1.883,255,255,255,27.853,6.999,621,135
33,A_t5_3.tif,1.261,255,255,255,64.927,7.038,1442,136
34,A_t5_3.tif,1.053,255,255,255,90.945,6.991,2016,141
35,A_t5_3.tif,0.888,255,255,255,74.368,7.129,1654,143
36,A_t5_3.tif,0.771,255,255,255,92.138,7.345,2052,153
37,A_t5_3.tif,0.846,255,255,255,50.590,7.794,1120,160
38,A_t5_3.tif,1.560,255,255,255,14.786,8.438,327,164
39,A_t5_3.tif,0.961,255,255,255,105.060,8.492,2339,177
40,A_t5_3.tif,2.083,255,255,255,95.469,9.057,2118,180
41,A_t5_3.tif,1.382,255,255,255,45.873,8.779,1020,181
42,A_t5_3.tif,0.545,255,255,255,67.085,8.844,1487,189
43,A_t5_3.tif,0.735,255,255,255,93.807,9.111,2086,189
44,A_t5_3.tif,0.428,255,255,255,67.915,8.977,1504,191
45,A_t5_3.tif,1.146,255,255,255,47.257,9.478,1055,194
46,A_t5_3.tif,1.136,255,255,255,57.895,9.457,1293,195
47,A_t5_3.tif,0.359,255,255,255,81.247,9.312,1805,201
48,A_t5_3.tif,0.230,255,255,255,82.318,9.273,1830,201
49,A_t5_3.tif,1.477,255,255,255,40.864,9.644,900,205
50,A_t5_3.tif,0.829,255,255,255,25.777,9.878,577,206
51,A_t5_3.tif,0.605,255,255,255,94.611,9.812,2106,206
52,A_t5_3.tif,0.870,255,255,255,10.441,10.217,235,212
53,A_t5_3.tif,0.904,255,255,255,45.311,10.008,1005,212
54,A_t5_3.tif,1.512,255,255,255,32.357,10.382,727,213
55,A_t5_3.tif,1.001,255,255,255,11.178,10.549,253,220
56,A_t5_3.tif,0.789,255,255,255,94.005,10.586,2094,221
57,A_t5_3.tif,0.997,255,255,255,2.469,10.609,54,223
58,A_t5_3.tif,0.811,255,255,255,46.996,10.719,1045,228
59,A_t5_3.tif,0.123,255,255,255,16.627,11.815,368,258
60,A_t5_3.tif,3.709,255,255,255,92.084,12.951,2028,262
61,A_t5_3.tif,1.491,255,255,255,23.598,12.643,539,271
62,A_t5_3.tif,1.255,255,255,255,14.053,12.860,311,272
63,A_t5_3.tif,0.955,255,255,255,21.759,12.796,470,276
64,A_t5_3.tif,0.838,255,255,255,64.767,13.099,1440,279
65,A_t5_3.tif,1.239,255,255,255,102.365,13.891,2283,294
66,A_t5_3.tif,1.003,255,255,255,64.601,14.162,1430,302
67,A_t5_3.tif,0.894,255,255,255,86.362,14.162,1919,302
68,A_t5_3.tif,0.236,255,255,255,70.217,14.198,1561,310
69,A_t5_3.tif,0.583,255,255,255,109.100,14.716,2427,316
70,A_t5_3.tif,1.320,255,255,255,47.256,15.184,1053,317
71,A_t5_3.tif,1.336,255,255,255,42.577,14.877,948,318
72,A_t5_3.tif,1.118,255,255,255,46.387,15.100,1030,318
73,A_t5_3.tif,0.575,255,255,255,57.246,14.648,1275,318
74,A_t5_3.tif,1.179,255,255,255,87.192,15.217,1936,319
75,A_t5_3.tif,0.587,255,255,255,77.575,14.771,1723,320
76,A_t5_3.tif,1.066,255,255,255,43.492,15.393,973,328
77,A_t5_3.tif,0.961,255,255,255,56.571,15.990,1265,342
78,A_t5_3.tif,0.375,255,255,255,88.757,16.856,1974,367
79,A_t5_3.tif,1.086,255,255,255,13.594,17.499,296,371
80,A_t5_3.tif,2.680,255,255,255,70.631,18.302,1563,387
81,A_t5_3.tif,1.090,255,255,255,69.247,18.658,1533,401
82,A_t5_3.tif,1.209,255,255,255,4.849,18.945,106,406
83,A_t5_3.tif,0.940,255,255,255,24.311,18.763,532,408
84,A_t5_3.tif,0.252,255,255,255,76.732,19.075,1704,418
85,A_t5_3.tif,1.219,255,255,255,113.686,19.855,2531,422
86,A_t5_3.tif,0.936,255,255,255,8.940,19.385,202,423
87,A_t5_3.tif,1.035,255,255,255,33.590,19.541,740,423
88,A_t5_3.tif,1.758,255,255,255,50.508,20.274,1129,424
89,A_t5_3.tif,1.092,255,255,255,83.295,19.622,1847,424
90,A_t5_3.tif,0.838,255,255,255,59.807,19.932,1326,431
91,A_t5_3.tif,0.428,255,255,255,118.746,19.770,2639,433
92,A_t5_3.tif,1.487,255,255,255,62.443,20.753,1395,442
93,A_t5_3.tif,0.844,255,255,255,8.018,20.646,174,451
94,A_t5_3.tif,0.809,255,255,255,26.323,20.950,581,454
95,A_t5_3.tif,2.646,255,255,255,88.794,21.366,1970,454
96,A_t5_3.tif,0.387,255,255,255,25.496,21.521,569,469
97,A_t5_3.tif,1.774,255,255,255,34.426,22.839,771,482
98,A_t5_3.tif,0.811,255,255,255,83.897,22.571,1871,487
99,A_t5_3.tif,1.348,255,255,255,88.715,23.049,1963,496
